<div>Which of the following is part of the Basis and Purpose of the Amateur Radio Service?</div>	<div>Advancing skills in the technical and communication phases of the radio art</div>
<div>Which agency regulates and enforces the rules for the Amateur Radio Service in the United States?</div>	The FCC
<div>What do the FCC rules state regarding the use of a phonetic alphabet for station identification in the Amateur Radio Service?</div>	It is encouraged
<div>How many operator/primary station license grants may be held by any one person?</div>	One
<div>What proves that the FCC has issued an operator/primary license grant?</div>	<div>The license appears in the FCC ULS database</div>
<div>What is the FCC Part 97 definition of a beacon?</div>	An amateur station transmitting communications for the purposes of observing propagation or related experimental activities
<div>What is the FCC Part 97 definition of a space station?</div>	"<div>An amateur station located more than 50 km above Earth's surface</div>"
<div>Which of the following entities recommends transmit/receive channels and other parameters for auxiliary and repeater stations?</div>	Volunteer Frequency Coordinator recognized by local amateurs
<div>Who selects a Frequency Coordinator?</div>	Amateur operators in a local or regional area whose stations are eligible to be repeater or auxiliary stations
<div>What is the Radio Amateur Civil Emergency Service (RACES)?&nbsp;</div>	A radio service using amateur frequencies for emergency management or civil defense communications, A radio service using amateur stations for emergency management or civil defense communications, and An emergency service using amateur operators certified by a civil defense organization as being enrolled in that organization
<div>When is willful interference to other amateur radio stations permitted?</div>	Never
<div>Which of the following frequency ranges are available for phone operation by Technician licensees?</div>	28.300 MHz to 28.500 MHz
<div>Which amateurs may contact the International Space Station (ISS) on VHF bands?</div>	Any amateur holding a Technician class or higher license
<div>Which frequency is in the 6 meter amateur band?</div>	52.525 MHz
<div>Which amateur band includes 146.52 MHz?</div>	2 meters
<div>How may amateurs use the 219 to 220 MHz <a>segment </a>of 1.25 meter band?</div>	<div>Fixed digital message forwarding systems only</div>
<div>On which HF bands does a Technician class operator have phone privileges?</div>	10 meter band only
<div>Which of the following VHF/UHF band segments are limited to CW only?</div>	50.0 MHz to 50.1 MHz and 144.0 MHz to 144.1 MHz
<div>How are US amateurs restricted in segments of bands where the Amateur Radio Service is secondary?</div>	U.S. amateurs may find non-amateur stations in those segments, and must avoid interfering with them
<div>Why should you not set your transmit frequency to be exactly at the edge of an amateur band or sub-band?</div>	To allow for calibration error in the transmitter frequency display, So that modulation sidebands do not extend beyond the band edge, and To allow for transmitter frequency drift
<div>Where may SSB phone be used in amateur bands above 50 MHz?</div>	In at least some segment of all these bands
<div>What is the maximum peak envelope power output for Technician class operators in their HF band segments?</div>	<div>200 watts</div>
<div>Except for some specific restrictions, what is the maximum peak envelope power output for Technician class operators using frequencies above 30 MHz?</div>	<div>1500 watts</div>
<div>For which license classes are new licenses currently available from the FCC?</div>	Technician, General, Amateur Extra
<div>Who may select a desired call sign under the vanity call sign rules?</div>	Any licensed amateur
<div>What types of international communications are an FCC-licensed amateur radio station permitted to make?</div>	<div>Communications incidental to the purposes of the Amateur Radio Service and remarks of a personal character</div>
<div>What may happen if the FCC is unable to reach you by email?</div>	<div>Revocation of the station license or suspension of the operator license</div>
<div>Which of the following is a valid Technician class call sign format?</div>	KF1XXX
<div>From which of the following locations may an FCC-licensed amateur station transmit?</div>	From any vessel or craft located in international waters and documented or registered in the United States
<div>Which of the following can result in revocation of the station license or suspension of the operator license?</div>	Failure to provide and maintain a correct email address with the FCC
<div>What is the normal term for an FCC-issued amateur radio license?</div>	<div>Ten years</div>
<div>What is the grace period for renewal if an amateur license expires?</div>	Two years
<div>How soon after passing the examination for your first amateur radio license may you transmit on the amateur radio bands?&nbsp;</div>	As soon as your operator/station license grant appears in the FCC’s license database
<div>If your license has expired and is still within the allowable grace period, may you continue to transmit on the amateur radio bands?</div>	No, you must wait until the license has been renewed
<div>With which countries are FCC-licensed amateur radio stations prohibited from exchanging communications?</div>	Any country whose administration has notified the International Telecommunication Union (ITU) that it objects to such communications
<div>Under which of the following circumstances are one-way transmissions by an amateur station prohibited?</div>	Broadcasting
<div>When is it permissible to transmit messages encoded to obscure their meaning?</div>	Only when transmitting control commands to space stations or radio control craft
<div>Under what conditions is an amateur station authorized to transmit music using a phone emission?</div>	When incidental to an authorized retransmission of manned spacecraft communications
<div>When may amateur radio operators use their stations to notify other amateurs of the availability of equipment for sale or trade?</div>	<div>When selling amateur radio equipment and not on a regular basis</div>
<div>What, if any, are the restrictions concerning transmission of language that may be considered indecent or obscene?</div>	Any such language is prohibited
<div>What types of amateur stations can automatically retransmit the signals of other amateur stations?</div>	<div>Repeater, auxiliary, or space stations</div>
<div>In which of the following circumstances may the control operator of an amateur station receive compensation for operating that station?&nbsp;</div>	When the communication is incidental to classroom instruction at an educational institution
